X,Y,LATITUDE,LONGITUDE,fid,barriere,druecker,elem_nr,gis_id,hmas,mas,MODEL,SCALE_X,SCALE_Y,SCALE_Z,HubDist,BEARING
390457.845995091,5819771.980999413,52.51703841,13.38563175,s_Mast_LSA.10124,,1,45540067_45540058.01,PK_18102013_03021,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.364053420516935,-5.9025
390458.853995092,5819720.512999414,52.51657609,13.38566355,s_Mast_LSA.10122,,1,45540067_45540058.01,PK_18102013_03023,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,9.245776324086277,264.2507
390477.063995098,5819719.317999412,52.51656901,13.38593219,s_Mast_LSA.10194,,2,45540058_45540051.01,PK_18102013_02022,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,5.943225871217488,174.6749
390470.612995097,5819606.538999415,52.51555422,13.38587431,s_Mast_LSA.10192,,2,45540058_45540051.01,PK_18102013_02024,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,11.003611831564781,-6.057
390491.421995104,5819584.328999415,52.51535881,13.38618816,s_Mast_LSA.10185,,2,45540051_45540053.01,PK_18102013_01978,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,7.750652587131424,175.4596
390493.969995104,5819602.311999415,52.51552092,13.38621977,s_Mast_LSA.10191,,2,45540051_45540031.01,PK_18102013_01166,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.528353282171127,86.0963
390468.352995096,5819586.888999415,52.51537718,13.38584750,s_Mast_LSA.10189,,2,45540050_45540051.01,PK_18102013_01071,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.536358410832766,263.4628
391287.304995346,5819582.549999423,52.51550214,13.39791255,s_Mast_LSA.10387,,2,46540026_46540079.01,PK_22012014_10300,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.556177001301144,-19.9293
391278.668995344,5819562.163999424,52.51531721,13.39779200,s_Mast_LSA.10425,,1,46540027_46540079.01,PK_22012014_11983,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,6.950494083212409,253.7399
391296.470995350,5819561.521999425,52.51531499,13.39805444,s_Mast_LSA.10427,,1,46540079_46540094.01,PK_22012014_12089,0.0,,/Assets/City Props Bundle/PREFABS/traffic_light_01_v2.prefab,30.48,30.48,30.48,4.726439351369241,160.6904
