X,Y,LATITUDE,LONGITUDE,name,altitude,BEARING,href,CityObjType,ELEVATION,LocalityName,ThoroughfareName,ThoroughfareNumber,function,measuredHeight,roofType
391924.1768,5821157.827,52.5297853,13.4067819,BLDG_00030009001f5fcf,38.4500008,358.7438262,30401/BLDG_00030009001f5fcf.dae,Building,38.45,Berlin,Lottumstr.,15,1231,24.21594,1000
391544.717,5820205.749,52.5211539,13.4015011,DEB_LOD2_UUID_e7031f19-bc98-4214-8d1a-d53411d90034,32.87,358.7315716,28125/DEB_LOD2_UUID_e7031f19-bc98-4214-8d1a-d53411d90034.dae,Building,32.87,Berlin,Sophienstr.,6,2121,19.786,1000
391500.9383,5820860.144,52.527026,13.4006425,DEB_LOD2_UUID_6ef5c841-f1a2-40a1-8f38-9120d11c91bd,36.647,358.7403149,28162/DEB_LOD2_UUID_6ef5c841-f1a2-40a1-8f38-9120d11c91bd.dae,Building,36.647,Berlin,Sophienstr.,6,2121,16.144,3100
391453.1236,5820453.165,52.5233591,13.4000709,DEB_LOD2_UUID_c2c4d75f-2f4e-4dcf-b655-bb416e9df76d,35.623,358.7320623,28242/DEB_LOD2_UUID_c2c4d75f-2f4e-4dcf-b655-bb416e9df76d.dae,Building,35.623,Berlin,Sophienstr.,6,2121,4.197,1000
391902.0763,5820991.045,52.5282821,13.4065105,DEB_LOD2_UUID_3d42f7b8-23ed-4deb-99fe-e1152aa296b1,36.6,358.7449154,28182/DEB_LOD2_UUID_3d42f7b8-23ed-4deb-99fe-e1152aa296b1.dae,Building,36.6,Berlin,Sophienstr.,6,2121,22.676,1000
391839.3041,5820183.7,52.5210143,13.4058483,BLDG_0003000e0055a8d7,31.1000004,358.7363592,29190/BLDG_0003000e0055a8d7.dae,Building,31.1,Berlin,Sophienstr.,6,2121,45.58367,1000
391519.0736,5820461.93,52.523451,13.4010397,DEB_LOD2_UUID_f3252957-0ad3-4764-87be-47e16edbd0a1,35.551,358.730135,28555/DEB_LOD2_UUID_f3252957-0ad3-4764-87be-47e16edbd0a1.dae,Building,35.551,Berlin,Sophienstr.,6,2121,15.465,1000
391523.8896,5820179.271,52.5209118,13.4012029,DEB_LOD2_UUID_058eef78-5062-425c-a939-ab844aa2b3df,33.71,358.7301918,28266/DEB_LOD2_UUID_058eef78-5062-425c-a939-ab844aa2b3df.dae,Building,33.71,Berlin,Sophienstr.,6,2121,25.599,1000
391334.9999,5820603.504,52.5246866,13.3982814,DEB_LOD2_UUID_302858d5-28f4-4c0e-8664-8498e06d8ba5,34.33,358.7288566,28577/DEB_LOD2_UUID_302858d5-28f4-4c0e-8664-8498e06d8ba5.dae,Building,34.33,Berlin,Sophienstr.,6,2121,11.351,1000
391230.034,5820828.265,52.5266855,13.3966613,DEB_LOD2_UUID_81e27f3f-abf2-46f8-aab7-ab1ca80d8320,35.63,358.73919,28629/DEB_LOD2_UUID_81e27f3f-abf2-46f8-aab7-ab1ca80d8320.dae,Building,35.63,Berlin,Sophienstr.,6,2121,12.392,1000
391042.0434,5820857.181,52.5269078,13.3938819,DEB_LOD2_UUID_714a8f2c-a712-484c-913e-adf0f73c6298,34.729,358.738146,28696/DEB_LOD2_UUID_714a8f2c-a712-484c-913e-adf0f73c6298.dae,Building,34.729,Berlin,Sophienstr.,6,2121,22.292,1000
391453.9832,5820470.204,52.5235124,13.400078,DEB_LOD2_UUID_56507d3b-8197-407d-b39a-6cb6df6a4fc3,35.21,358.7337977,28752/DEB_LOD2_UUID_56507d3b-8197-407d-b39a-6cb6df6a4fc3.dae,Building,35.21,Berlin,Sophienstr.,6,2121,18.853,3100
391687.2528,5820332.242,52.522319,13.4035598,DEB_971a06c2-15d2-48,35.16,358.7440886,29522/DEB_971a06c2-15d2-48.dae,Building,35.16,Berlin,Sophienstr.,6,2121,21.711,1000
391935.6069,5820994.344,52.5283184,13.4070035,DEB_LOD2_UUID_19ec823f-8852-4b90-bcb8-7846e5064843,36.665,358.7442662,29138/DEB_LOD2_UUID_19ec823f-8852-4b90-bcb8-7846e5064843.dae,Building,36.665,Berlin,Sophienstr.,6,1231,23.315,1000
391513.4027,5820364.956,52.5225784,13.4009878,DEB_LOD2_UUID_5e4c0dbc-7dc9-4f16-9b1e-44def4460884,35.15,358.7417003,28806/DEB_LOD2_UUID_5e4c0dbc-7dc9-4f16-9b1e-44def4460884.dae,Building,35.15,Berlin,Sophienstr.,6,2121,23.692,2100
391649.3015,5820299.31,52.5220155,13.4030114,DEB_9a6f9afb-bd10-46,35.224,358.7369905,29662/DEB_9a6f9afb-bd10-46.dae,Building,35.224,Berlin,Sophienstr.,6,2121,21.711,1000
391684.5599,5820357.484,52.5225453,13.4035119,DEB_820bc1fb-200a-40,35.18,358.7414202,29563/DEB_820bc1fb-200a-40.dae,Building,35.18,Berlin,Sophienstr.,6,2121,21.711,1000
391675.1457,5820293.664,52.5219699,13.403394,DEB_5b764dad-838d-44,35.16,358.7295553,29685/DEB_5b764dad-838d-44.dae,Building,35.16,Berlin,Sophienstr.,6,2121,21.711,1000
391704.2519,5820335.761,52.522354,13.4038091,DEB_c6de4c5f-1d7c-4c,35.236,358.7301785,29737/DEB_c6de4c5f-1d7c-4c.dae,Building,35.236,Berlin,Sophienstr.,6,2121,21.711,1000
391738.0591,5820294.253,52.5219877,13.4043207,DEB_86c8003d-8da5-42,35.37,358.7269807,29718/DEB_86c8003d-8da5-42.dae,Building,35.37,Berlin,Sophienstr.,6,2121,21.711,1000
391980.4838,5821298.728,52.5310627,13.4075658,BLDG_0003000f0030472a,42.3199997,358.7485154,30281/BLDG_0003000f0030472a.dae,Building,42.32,Berlin,Kleine Hamburger Str.,26,1742,4.23727,1000
391975.0407,5821299.928,52.5310724,13.4074852,BLDG_00030009001f5fec,42.3199997,358.7298719,30297/BLDG_00030009001f5fec.dae,Building,42.32,Berlin,Lottumstr.,9,1231,21.53876,1000
391868.7025,5820892.212,52.5273873,13.4060509,DEB_LOD2_UUID_7d65c963-969c-4abb-8f47-215af9ba19f1,36.37,358.7336779,29749/DEB_LOD2_UUID_7d65c963-969c-4abb-8f47-215af9ba19f1.dae,Building,36.37,Berlin,Sophienstr.,6,2121,21.853,1000
391986.2362,5821257.718,52.5306953,13.4076639,BLDG_00030009003abe82,42.0999985,358.7486538,30313/BLDG_00030009003abe82.dae,Building,42.1,Berlin,Lottumstr.,10A,1231,21.37282,1000
391085.7625,5821069.448,52.5288241,13.3944565,BLDG_0003000f002950dc,36.3100014,358.7269489,30323/BLDG_0003000f002950dc.dae,Building,36.31,Berlin,Lottumstr.,8,2101,25.95662,1000
391544.717,5820205.749,52.5211539,13.4015011,DEB_LOD2_UUID_bc1738f3-e737-44d4-a3d3-127f3ab1637c,35.04,358.7315716,28229/DEB_LOD2_UUID_bc1738f3-e737-44d4-a3d3-127f3ab1637c.dae,Building,35.04,Berlin,Sophienstr.,6,2121,20.349,1000
391713.6476,5820715.205,52.5257658,13.4038239,DEB_LOD2_UUID_9b69475e-f034-463c-bdc1-b03e5ecc261f,30.44,358.7380255,28239/DEB_LOD2_UUID_9b69475e-f034-463c-bdc1-b03e5ecc261f.dae,Building,30.44,Berlin,Sophienstr.,6,2121,30.466,1000
391865.193,5820797.527,52.5265357,13.40603,DEB_LOD2_UUID_77301c6e-e4a5-4375-803a-12de736350bf,35.42,358.7436102,28074/DEB_LOD2_UUID_77301c6e-e4a5-4375-803a-12de736350bf.dae,Building,35.42,Berlin,Sophienstr.,6,2121,18.6,1000
391137.4613,5820804.762,52.5264558,13.395305,DEB_LOD2_UUID_c0ddec10-6b55-4247-a494-b6dcb490cdf3,34.75,358.7303436,28599/DEB_LOD2_UUID_c0ddec10-6b55-4247-a494-b6dcb490cdf3.dae,Building,34.75,Berlin,Sophienstr.,6,2121,20.015,2100
391699.8657,5820951.27,52.5278845,13.4035439,DEB_LOD2_UUID_b6e25eb6-9304-4d2d-b5b8-7600c23fd98c,36.96,358.732202,28267/DEB_LOD2_UUID_b6e25eb6-9304-4d2d-b5b8-7600c23fd98c.dae,Building,36.96,Berlin,Sophienstr.,6,2121,17.748,2100
391325.0718,5820554.028,52.52424,13.3981513,DEB_LOD2_UUID_d11dd47d-68d7-4e7d-9a50-20d33a9e7130,34.38,358.728417,28682/DEB_LOD2_UUID_d11dd47d-68d7-4e7d-9a50-20d33a9e7130.dae,Building,34.38,Berlin,Sophienstr.,6,2121,11.827,1000
